Unnamed: 0,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora_x,mandante,visitante,gol_mandante_x,gol_visitante_x,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante,hora_y,gol_mandante_y,gol_visitante_y,Odd 1,Odd X,Odd 2
,,,,,,,,,2021,,América Fc Saf - MG,São Paulo - SP,,,,,,,,21:30,2,0,2.0,3.32,3.98
3798.0,A,2021.0,Antônio Accioly,Goiania,GO,Quinta,9.0, Dezembro ,2021,21:30,Atlético - GO,Flamengo - RJ,2.0,0.0,1.0,0.0,0.0,3.0,0.0,21:30,2,0,1.72,3.89,4.57
3796.0,A,2021.0,Nabi Abi Chedid,Braganca Paulista,SP,Quinta,9.0, Dezembro ,2021,21:30,Red Bull Bragantino - SP,Internacional - RS,1.0,0.0,1.0,0.0,0.0,3.0,0.0,21:30,1,0,1.9,3.65,4.01
3797.0,A,2021.0,Alfredo Jaconi,Caxias do Sul,RS,Quinta,9.0, Dezembro ,2021,21:30,Juventude - RS,Corinthians - SP,1.0,0.0,1.0,0.0,0.0,3.0,0.0,21:30,1,0,2.25,3.1,3.52
3789.0,A,2021.0,Maracanã,Rio de Janeiro,RJ,Quinta,9.0, Dezembro ,2021,21:30,Fluminense - RJ,Chapecoense - SC,3.0,0.0,1.0,0.0,0.0,3.0,0.0,21:30,3,0,1.19,6.62,15.82
3794.0,A,2021.0,Arena Castelão,Fortaleza,CE,Quinta,9.0, Dezembro ,2021,21:30,Fortaleza - CE,Bahia - BA,2.0,1.0,1.0,0.0,0.0,3.0,0.0,21:30,2,1,2.49,3.23,2.92
,,,,,,,,,2021,,Grêmio - RS,Atlético Mineiro Saf - MG,,,,,,,,21:30,4,3,1.53,4.37,5.75
3790.0,A,2021.0,Arena Barueri,Barueri,SP,Quinta,9.0, Dezembro ,2021,21:30,Palmeiras - SP,Ceará - CE,1.0,0.0,1.0,0.0,0.0,3.0,0.0,21:30,1,0,4.06,3.75,1.85
,,,,,,,,,2021,,Santos - SP,Cuiabá Saf - MT,,,,,,,,21:30,1,1,2.08,3.04,4.11
3795.0,A,2021.0,Arena Pernambuco,São Lourenço da Mata,PE,Quinta,9.0, Dezembro ,2021,21:30,Sport - PE,Athletico Paranaense - PR,1.0,1.0,0.0,0.0,1.0,1.0,1.0,21:30,1,1,1.71,3.59,5.27
3788.0,A,2021.0,Arena Condá,Chapeco,SC,Segunda,6.0, Dezembro ,2021,21:00,Chapecoense - SC,Sport - PE,0.0,1.0,0.0,1.0,0.0,0.0,3.0,21:00,0,1,3.02,3.11,2.48
,,,,,,,,,2021,,Cuiabá Saf - MT,Fortaleza - CE,,,,,,,,20:00,1,0,2.1,3.08,3.92
3786.0,A,2021.0,Maracanã,Rio de Janeiro,RJ,Segunda,6.0, Dezembro ,2021,20:00,Flamengo - RJ,Santos - SP,0.0,1.0,0.0,1.0,0.0,0.0,3.0,20:00,0,1,1.52,4.56,5.8
3787.0,A,2021.0,Beira,Rio,Porto Alegre,Segunda,6.0, Dezembro ,2021,20:00,Internacional - RS,Atlético - GO,1.0,2.0,0.0,1.0,0.0,0.0,3.0,20:00,1,2,1.55,4.0,6.16
3783.0,A,2021.0,Arena da Baixada,Curitiba,PR,Segunda,6.0, Dezembro ,2021,19:00,Athletico Paranaense - PR,Palmeiras - SP,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19:00,0,0,1.42,4.45,7.86
3784.0,A,2021.0,Morumbi,Sao Paulo,SP,Segunda,6.0, Dezembro ,2021,19:00,São Paulo - SP,Juventude - RS,3.0,1.0,1.0,0.0,0.0,3.0,0.0,19:00,3,1,1.63,3.58,6.14
