Year,Time,Home Team,Home Score,Away Score,Away Team,Odd 1,Odd X,Odd 2
2021,21:30,America MG,2,0,Sao Paulo,+100,+231,+298
2021,21:30,Atletico GO,2,0,Flamengo RJ,-139,+289,+357
2021,21:30,Bragantino,1,0,Internacional,-111,+265,+301
2021,21:30,Juventude,1,0,Corinthians,+125,+210,+252
2021,21:30,Fluminense,3,0,Chapecoense-SC,-526,+562,+1482
2021,21:30,Fortaleza,2,1,Bahia,+149,+223,+192
2021,21:30,Gremio,4,3,Atletico-MG,-189,+337,+475
2021,21:30,Palmeiras,1,0,Ceara,+305,+275,-118
2021,21:30,Santos,1,1,Cuiaba,+108,+204,+311
2021,21:30,Sport Recife,1,1,Athletico-PR,-141,+259,+426
2021,21:00,Chapecoense-SC,0,1,Sport Recife,+202,+211,+148
2021,20:00,Cuiaba,1,0,Fortaleza,+110,+208,+292
2021,20:00,Flamengo RJ,0,1,Santos,-192,+355,+480
2021,20:00,Internacional,1,2,Atletico GO,-182,+300,+516
2021,19:00,Athletico-PR,0,0,Palmeiras,-238,+345,+686
2021,19:00,Sao Paulo,3,1,Juventude,-159,+258,+514
2021,19:00,Ceara,0,0,America MG,+112,+221,+266
2021,16:00,Atletico-MG,4,3,Bragantino,-105,+243,+304
2021,16:00,Bahia,2,0,Fluminense,+104,+218,+299
2021,16:00,Corinthians,1,1,Gremio,+125,+235,+217
2021,21:00,Fortaleza,1,0,Juventude,-141,+252,+426
2021,20:00,Chapecoense-SC,0,1,Atletico GO,+273,+221,+110
2021,20:00,Sport Recife,1,1,Flamengo RJ,+373,+281,-139
2021,19:00,Athletico-PR,1,0,Cuiaba,-137,+222,+498
2021,20:00,Gremio,3,0,Sao Paulo,+119,+219,+249
2021,18:00,Bahia,2,3,Atletico-MG,+319,+220,-101
2021,22:00,Cuiaba,1,3,Palmeiras,-135,+249,+413
2021,21:00,America MG,3,0,Chapecoense-SC,-370,+453,+1036
2021,20:00,Flamengo RJ,2,1,Ceara,-233,+359,+606
2021,19:00,Juventude,1,0,Bragantino,+143,+199,+225
2021,19:00,Atletico GO,2,1,Bahia,+154,+204,+200
2021,19:00,Internacional,1,1,Santos,-172,+292,+513
2021,16:00,Atletico-MG,2,1,Fluminense,-263,+363,+808
2021,16:00,Corinthians,1,0,Athletico-PR,-101,+212,+330
2021,21:30,Sao Paulo,2,0,Sport Recife,-204,+309,+618
2021,19:30,Bragantino,1,1,America MG,-104,+241,+309
2021,19:00,Bahia,3,1,Gremio,+159,+212,+189
2021,20:00,Ceara,2,1,Corinthians,+136,+209,+229
2021,19:00,Santos,2,0,Fortaleza,+177,+198,+181
2021,21:30,Fluminense,1,0,Internacional,+139,+204,+225
2021,21:30,Sao Paulo,0,0,Athletico-PR,-119,+225,+384
2021,21:30,Palmeiras,2,2,Atletico-MG,+363,+258,-127
2021,21:00,Gremio,2,2,Flamengo RJ,+102,+256,+254
2021,19:00,Atletico GO,1,1,Juventude,+112,+202,+297
2021,19:00,Bahia,0,0,Cuiaba,-118,+231,+367
2021,17:00,Fluminense,2,0,America MG,+117,+216,+261
2021,16:00,Corinthians,2,0,Santos,-135,+235,+467
2021,21:30,Internacional,1,2,Flamengo RJ,+289,+244,+100
